,source,error,error_binary,smog_index,coleman_liau_index,flesch_reading_ease,gunning_fog,automated_readability_index,linsear_write_formula,dale_chall_readability_score
0,10.5465.amj.2015.1196,1.0,1,15.2,14.91,34.05,10.46,16.3,25.66666667,6.24
1,10.5465.amj.2016.1322,0.0,0,15.4,15.2,32.12,10.98,17.6,18.75,6.18
2,10.5465.amj.2017.0149,0.0,0,15.6,16.88,26.71,10.54,17.8,16.0,6.5
3,10.5465.amj.2017.0245,0.0,0,15.6,15.14,32.94,11.0,17.1,18.5,6.39
4,A (Blurry) Vision of the Future_ How Leader Rhetoric about Ultimate Goals Influences Performance,0.0,0,15.7,14.86,-62.67,11.81,17.5,18.0,6.46
5,A Longitudinal Examination of the Influence of Mentoring on Organizational Commitment and Turnover _ Academy of Management Journal,0.0,0,15.7,17.11,27.42,10.2,17.2,24.0,6.53
6,"A Multilevel Field Investigation of Emotional Labor, Affect, Work Withdrawal, and Gender",0.0,0,16.1,16.08,-87.04,11.27,18.2,13.33333333,6.25
7,A New Model of Work Role Performance_ Positive Behavior in Uncertain and Interdependent Contexts,0.0,0,16.2,15.78,-85.21,10.85,17.3,15.2,6.3
8,A Social Mindfulness Approach to Understanding Experienced Customer Mistreatment_ A Within-person Field Experiment _ Academy of Management Journal,0.0,0,15.9,16.77,25.59,10.55,18.0,19.75,6.31
9,Actions Speak Louder than Words_ How Figurative Language and Gesturing in Entrepreneurial Pitches Influences Investment Judgments _ Academy of Management Journal,1.0,1,15.9,15.55,36.32,12.98,19.4,17.25,6.64
10,An Approach–Avoidance Framework of Workplace Aggression,0.0,0,16.9,17.0,-71.13,11.89,19.5,16.0,6.4
11,Bored by Interest_ How Intrinsic Motivation in One Task Can Reduce Performance on Other Tasks _ Academy of Management Journal,1.0,1,15.1,15.83,36.49,9.79,16.6,19.75,6.33
12,"Business Group Affiliation, Performance, Context, and Strategy_ A Meta-analysis",0.0,0,16.5,17.18,-70.52,12.15,19.3,16.0,6.77
13,Cognitive Team Diversity and Individual Team Member Creativity_ A Cross-Level Interaction,1.0,1,16.9,17.17,-84.91,11.02,18.3,22.0,6.48
14,"Collective Organizational Engagement_ Linking Motivational Antecedents, Strategic Implementation, and Firm Performance",0.0,0,17.7,17.7,-88.56,12.1,20.1,12.85714286,6.46
15,Compromised Ethics in Hiring Processes_ How Referrers’ Power Affects Employees’ Reactions to Referral Practices _ Academy of Management Journal,0.0,0,16.9,14.45,28.27,12.36,18.5,25.0,6.33
16,Cracking but not Breaking_ Joint Effects of Faultline Strength and Diversity Climate on Loyal Behavior,0.0,0,16.4,16.88,-77.97,11.26,18.8,24.33333333,6.4
17,"Creative, Rare, Entitled, and Dishonest_ How Commonality of Creativity in One’s Group Decreases an Individual’s Entitlement and Dishonesty",2.0,1,17.4,15.44,-63.48,11.88,18.5,17.4,6.25
18,Different Views of Hierarchy and Why They Matter_ Hierarchy as Inequality or as Cascading Influence,0.0,0,16.6,16.08,-62.37,11.72,18.4,12.66666667,6.41
19,Discordant vs. Harmonious Selves_ The Effects of Identity Conflict and Enhancement on Sales Performance in Employee–Customer Interactions,1.0,1,16.3,16.77,-75.94,10.06,17.8,17.6,6.01
20,Discrimination in Selection Decisions_ Integrating Stereotype Fit and Interdependence Theories,1.0,1,17.5,16.13,-72.05,12.01,19.3,18.75,6.32
21,"Diversity Thresholds_ How Social Norms, Visibility, and Scrutiny Relate to Group Composition _ Academy of Management Journal",0.0,0,16.9,15.09,27.86,12.58,19.0,18.25,6.35
22,Do Interviewers Sell Themselves Short_ The Effects of Selling Orientation on Interviewers' Judgments,0.0,0,18.0,16.89,-82.54,12.67,20.8,16.0,6.34
23,Does Anger Expression Help or Harm Leader Effectiveness_ The Role of Competence-based versus Integrity-based Violations and Abusive Supervision _ Academy of Management Journal,0.0,0,16.8,17.0,22.95,11.54,19.1,19.25,6.43
24,Does Proactive Personality Matter in Leadership Transitions_ Effects of Proactive Personality on New Leader Identification and Responses to New Leaders and their Change Agendas,1.0,1,15.4,15.49,-69.3,11.27,17.5,15.8,6.45
25,Does “Could” Lead to Good_ On the Road to Moral Insight _ Academy of Management Journal,5.0,1,15.8,14.8,29.48,11.77,18.4,19.25,6.22
26,Economic Downturns Undermine Workplace Helping by Promoting a Zero-Sum Construal of Success,0.0,0,17.2,15.32,-64.6,12.88,18.7,15.0,6.7
27,Effects of Employees’ Positive Affective Displays on Customer Loyalty Intentions_ An Emotions-as-Social-Information Perspective,0.0,0,17.4,17.53,-70.73,11.85,19.5,16.4,6.51
28,"Employees' Goal Orientations, the Quality of Leader-Member Exchange, and the Outcomes of Job Performance and Job Satisfaction _ Academy of Management Journal",1.0,1,16.9,17.4,24.07,11.39,19.1,20.25,6.46
29,Empowered to Perform_ A Multilevel Investigation of the Influence of Empowerment on Performance in Hospital Units,0.0,0,16.6,16.71,-77.36,11.3,18.5,14.16666667,6.56
30,Engaged and Productive Misfits_ How Job Crafting and Leisure Activity Mitigate the Negative Effects of Value Incongruence,0.0,0,16.2,15.5,-53.4,11.34,17.8,13.5,6.27
31,Entrepreneurial Imaginativeness in New Venture Ideation _ Academy of Management Journal,0.0,0,13.7,16.7,31.48,8.69,15.8,16.2,6.31
32,Evaluating Novelty_ The Role of Panels in the Selection of R&D Projects,2.0,1,17.0,15.21,-65.41,12.96,18.9,25.66666667,6.58
33,"Facing Differences With an Open Mind_ Openness to Experience, Salience of Intragroup Differences, and Performance of Diverse Work Groups",2.0,1,17.0,15.9,-173.97,12.33,19.2,8.625,6.42
34,Friends and Foes_ The Dynamics of Dual Social Structures,0.0,0,16.7,16.37,-63.38,12.24,19.0,19.0,6.47
35,From Good Soldiers to Psychologically Entitled_ Examining When and Why Citizenship Behavior Leads to Deviance,0.0,0,16.2,15.43,-77.46,10.93,17.4,19.75,6.25
36,"Gender, Brokerage, and Performance_ A Construal Approach _ Academy of Management Journal",0.0,0,14.8,14.85,33.24,10.71,16.6,17.0,6.24
37,Giving Commitment_ Employee Support Programs and The Prosocial Sensemaking Process,0.0,0,18.9,16.43,-170.59,14.51,21.7,11.42857143,6.82
38,"Going for it on Fourth Down_ Rivalry Increases Risk Taking, Physiological Arousal, and Promotion Focus _ Academy of Management Journal",1.0,1,15.2,15.95,33.95,10.71,17.7,13.83333333,6.49
39,"Heavy Is the Head that Wears the Crown_ An Actor-centric Approach to Daily Psychological Power, Abusive Leader Behavior, and Perceived Incivility _ Academy of Management Journal",0.0,0,14.1,15.02,29.45,8.89,15.0,21.25,6.1
40,Horizontal and Vertical Relationships in Developing Economies_ Implications for SMEs' Access to Global Markets,0.0,0,18.8,16.89,-188.83,15.29,22.8,16.6,7.15
41,Hot Buttons and Time Sinks_ The Effects of Electronic Communication During Nonwork Time on Emotions and Work-Nonwork Conflict,0.0,0,17.2,17.87,-78.68,11.59,19.7,15.2,6.46
42,How Can Leaders Overcome the Blurry Vision Bias_ Identifying an Antidote to the Paradox of Vision Communication _ Academy of Management Journal,3.0,1,15.6,15.5,31.21,11.8,17.9,24.66666667,6.61
43,How Does Human Resource Management Influence Organizational Outcomes_ A Meta-analytic Investigation of Mediating Mechanisms,0.0,0,15.1,17.17,-89.31,8.83,16.8,17.0,5.93
44,"How Does Trust Affect the Performance of Ongoing Teams_ The Mediating Role of Reflexivity, Monitoring, and Effort",2.0,1,15.1,14.68,-50.96,10.94,16.1,12.66666667,6.48
45,Ideology and the Micro-foundations of CSR_ Why Executives Believe in the Business Case for CSR and how this Affects their CSR Engagements,0.0,0,16.0,15.03,-70.32,11.42,17.4,24.0,6.32
46,"Individual Power Distance Orientation and Follower Reactions to Transformational Leaders_ A Cross-Level, Cross-Cultural Examination",0.0,0,17.3,17.76,-104.16,11.43,19.8,20.75,6.33
47,"Influencing the Influencers_ Diversification, Semantic Strategies, and Creativity Evaluations _ Academy of Management Journal",0.0,0,15.6,20.36,25.59,11.39,22.3,15.8,6.87
48,Inherently Relational_ Interactions between Peers’ and Individuals’ Personalities Impact Reward Giving and Appraisal of Individual Performance,1.0,1,16.5,16.94,-77.05,11.07,18.4,17.0,6.41
49,Innovative Behavior in the Workplace_ The Role of Performance and Image Outcome Expectations,0.0,0,17.3,16.88,-86.02,11.09,18.5,17.2,6.32
50,"Interpersonal Trust within Negotiations_ Meta-Analytic Evidence, Critical Contingencies, and Directions for Future Research",0.0,0,15.6,16.24,-74.82,10.25,16.7,11.71428571,6.34
51,Introducing Team Mindfulness and Considering its Safeguard Role Against Conflict Transformation and Social Undermining,2.0,1,16.0,17.23,-67.17,10.62,18.2,28.0,6.41
52,Is Consistently Unfair Better than Sporadically Fair_ An Investigation of Justice Variability and Stress,0.0,0,15.9,15.61,-77.87,10.93,17.7,10.75,6.18
53,"Is Love All You Need_ The Effects of Emotional Culture, Suppression, and Work–family Conflict on Firefighter Risk-Taking and Health",2.0,1,16.0,15.9,-70.02,11.35,17.8,13.0,6.38
54,Isolating Trust Outcomes from Exchange Relationships_ Social Exchange and Learning Benefits of Prior Ties in Alliances,0.0,0,16.1,16.02,-62.77,11.7,18.5,18.25,6.27
55,Job Titles as Identity Badges_ How Self-Reflective Titles Can Reduce Emotional Exhaustion,2.0,1,16.7,15.5,-72.96,12.75,18.9,11.42857143,6.71
56,Knowledge Inheritance in Global Industries_ The Impact of Parent Firm Knowledge on the Performance of Foreign Subsidiaries,0.0,0,17.3,17.35,-74.28,12.96,20.9,24.66666667,6.5
57,Leadership Behavior and Employee Voice_ Is the Door Really Open_,1.0,1,16.4,16.19,-78.68,12.29,18.3,17.4,6.95
58,"Leading with Meaning_ Beneficiary Contact, Prosocial Impact, and the Performance Effects of Transformational Leadership",0.0,0,17.0,17.52,-85.92,11.45,19.2,16.4,6.56
59,Learning and Performance in Multidisciplinary Teams_ The Importance of Collective Team Identification _ Academy of Management Journal,0.0,0,17.6,16.83,20.52,12.82,19.9,17.4,6.71
60,Looking Backward Instead of Forward_ Aspiration-Driven Influences on the Efficiency of the Capital Allocation Process,0.0,0,18.2,17.93,-73.16,12.91,21.0,17.4,6.67
61,Lunch Breaks Unpacked_ The Role of Autonomy as a Moderator of Recovery during Lunch,0.0,0,16.3,15.26,-78.17,11.41,17.2,15.4,6.51
62,Making a Difference in the Teamwork_ Linking Team Prosocial Motivation to Team Processes and Effectiveness,0.0,0,16.4,15.61,-61.96,11.32,18.1,20.0,6.25
63,Managers and Analysts_ An Examination of Mutual Influence,0.0,0,16.6,16.6,-61.25,11.35,18.1,17.8,6.41
64,"Managing to Stay in the Dark_ Managerial Self-Efficacy, Ego Defensiveness, and the Aversion to Employee Voice",1.0,1,16.7,16.25,-70.52,11.68,18.5,16.0,6.43
65,Moral Symbols_ A Necklace of Garlic against Unethical Requests,0.0,0,16.6,14.22,-64.9,12.5,18.1,19.75,6.4
66,"My Family Made Me Do It_ A Cross-Domain, Self-Regulatory Perspective on Antecedents to Abusive Supervision",2.0,1,16.0,15.66,-77.16,10.77,17.4,10.375,6.24
67,Negotiating the Challenges of a Calling_ Emotion and Enacted Sensemaking in Animal Shelter Work,0.0,0,15.9,14.63,-64.9,12.66,18.3,23.33333333,6.51
68,No Employee an Island_ Workplace Loneliness and Job Performance _ Academy of Management Journal,0.0,0,16.1,17.0,25.8,10.53,18.3,19.25,6.3
69,Normalizing Dirty Work_ Managerial Tactics For Countering Occupational Taint,1.0,1,15.8,13.87,-108.12,13.2,18.3,16.0,6.69
70,Nothing Succeeds Like Moderation_ A Social Self-Regulation Perspective on Cultural Dissimilarity and Performance,0.0,0,17.9,16.89,-81.22,12.33,20.1,18.4,6.39
71,Pacification or Aggravation_ The Effects of Talking about Supervisor Unfairness _ Academy of Management Journal,0.0,0,13.9,15.08,38.32,8.89,14.6,15.0,6.16
72,"Power, Moral Clarity, and Punishment in the Workplace",0.0,0,15.7,15.03,-68.49,10.81,16.8,11.0,6.34
73,Putting Creativity to Work_ The Implementation of Creative Ideas in Organizations,0.0,0,18.0,16.54,-82.33,13.06,20.3,20.0,6.62
74,Quitting When the Going Gets Tough_ A Downside of High Performance Expectations _ Academy of Management Journal,1.0,1,15.9,15.73,31.31,11.48,17.9,18.25,6.39
75,Reframing the Decision-Makers’ Dilemma_ Towards a Social Context Model of Creative Idea Recognition,3.0,1,16.6,15.73,-63.89,12.57,19.0,19.0,6.68
76,Resource-Based Contingencies of When Team–Member Exchange Helps Member Performance in Teams,0.0,0,17.3,16.37,-73.57,12.9,20.0,26.66666667,6.58
77,Sanctioning in the Wild_ Rational Calculus and Retributive Instincts in Gourmet Cuisine,2.0,1,16.1,15.44,-62.06,11.75,17.6,15.0,6.51
78,Searing Sentiment Or Cold Calculation_ The Effects Of Leader Emotional Displays On Team Performance Depend On Follower Epistemic Motivation,0.0,0,15.5,15.72,-75.73,10.65,16.8,13.66666667,6.44
79,"Seeing the Forest for the Trees_ Exploratory Learning, Mobile Technology, and Knowledge Workers’ Role Integration Behaviors",0.0,0,17.2,17.06,-72.05,12.51,19.8,15.0,6.62
80,Self-reliance_ A Gender Perspective on its Relationship to Communality and Leadership Evaluations,1.0,1,16.6,15.84,-71.13,11.8,18.5,11.28571429,6.4
81,Servant Leadership and Serving Culture_ Influence on Individual and Unit Performance,0.0,0,16.5,16.31,-69.61,11.41,18.1,14.8,6.42
82,Shady Characters_ The Implications of Illicit Organizational Roles for Resilient Team Performance,0.0,0,15.5,14.63,-53.6,11.7,16.9,16.0,6.53
83,Shared Team Experiences and Team Effectiveness_ Unpacking the Contingent Effects of Entrained Rhythms and Task Characteristics _ Academy of Management Journal,0.0,0,16.5,16.13,30.5,11.82,19.3,21.5,6.44
84,Something in Common_ Competitive Dissimilarity and Performance of Rivals with Common Shareholders _ Academy of Management Journal,0.0,0,14.5,15.83,36.89,9.7,16.0,14.6,6.45
85,Status Matters_ The Asymmetric Effects of Supervisor–Subordinate Disability Incongruence and Climate for Inclusion,0.0,0,15.8,16.3,-74.72,9.96,16.8,14.16666667,6.2
86,Status and Corporate Illegality_ Illegal Loan Recovery Practices of Commercial Banks in India,1.0,1,16.7,15.73,-61.96,11.66,17.8,21.25,6.48
87,Stories about Values and Valuable Stories_ A Field Experiment of the Power of Narratives to Shape Newcomers’ Actions,0.0,0,16.3,16.48,-69.81,11.67,18.4,27.33333333,6.58
88,Team Diversity and Information Use _ Academy of Management Journal,0.0,0,16.5,16.08,23.05,11.71,18.2,23.5,6.6
89,The Catalyst Effect_ The Impact of Transactive Memory System Structure on Team Performance,1.0,1,16.9,16.19,-71.23,12.02,18.6,20.25,6.5
90,The Cognitive and Behavioral Impact of Promotion and Prevention Contracts on Trust in Repeated Exchanges _ Academy of Management Journal,0.0,0,16.0,16.24,24.58,10.77,17.7,13.66666667,6.23
91,The Dark Side of Leadership_ A Three-Level Investigation of the Cascading Effect of Abusive Supervision on Employee Creativity,0.0,0,17.7,17.7,-88.76,12.2,20.3,27.66666667,6.49
92,The Dark Side of Socialization_ A Longitudinal Investigation of Newcomer Alcohol Use,0.0,0,17.2,16.19,-71.94,12.52,19.1,30.66666667,6.61
93,The Downfall of Extraverts and Rise of Neurotics_ The Dynamic Process of Status Allocation in Task Groups,8.0,1,15.1,15.43,-75.73,10.64,16.8,24.33333333,6.38
94,The Effect of Conformist and Attentive-To-Detail Members on Team Innovation_ Reconciling the Innovation Paradox,1.0,1,16.2,16.13,-76.75,10.88,17.7,28.0,6.37
95,The Effects of Conflict Asymmetry on Work Group and Individual Outcomes,0.0,0,14.7,15.26,-74.31,9.5,15.9,14.4,6.03
96,The Impact of Client Variability on Nurses' Occupational Strain and Injury_ Cross-Level Moderation by Safety Climate,0.0,0,16.1,16.71,-77.66,11.31,18.4,19.5,6.5
97,The Online Shadow of Offline Signals_ Which Sellers Get Contacted in Online B2B Marketplaces_,0.0,0,17.9,16.31,-66.63,13.52,20.6,28.33333333,6.64
98,The Operational and Signaling Benefits of Voluntary Labor Code Adoption_ Reconceptualizing the Scope of Human Resource Management in Emerging Economies,0.0,0,19.2,17.07,-79.56,15.88,23.1,37.5,7.22
99,The Paradox of Family Structure and Plans after Work_ Why Single Childless Employees May Be the Least Absorbed at Work _ Academy of Management Journal,0.0,0,16.4,16.77,23.87,11.43,18.8,16.8,6.61
100,"The Relationship Between Perceptions of Organizational Politics and Employee Attitudes, Strain, and Behavior_ A Meta-Analytic Examination",1.0,1,15.3,17.34,-173.19,8.76,16.5,18.4,6.04
101,The Riddle of Heterarchy_ Power Transitions in Cross-Functional Teams,0.0,0,15.8,15.15,-69.91,11.28,17.1,14.0,6.25
102,The Risks and Rewards of Speaking Up_ Managerial Responses to Employee Voice,0.0,0,16.3,14.97,-63.38,11.99,18.0,18.5,6.38
103,The Short-lived Benefits of Abusive Supervisory Behavior for Actors_ An Investigation of Recovery and Work Engagement _ Academy of Management Journal,0.0,0,15.3,15.55,26.81,9.88,16.4,22.0,6.14
104,The Social Consequences of Voice_ An Examination of Voice Type and Gender on Status and Subsequent Leader Emergence _ Academy of Management Journal,1.0,1,14.1,14.85,43.53,10.17,16.0,16.75,6.3
105,The Stigma of Affirmative Action_ A Stereotyping-Based Theory and Meta-Analytic Test of the Consequences for Performance,0.0,0,15.5,15.37,-76.45,10.21,17.0,14.8,6.01
106,The Strategic Value of Selection Practices_ Antecedents and Consequences of Firm-level Selection Practice Usage,0.0,0,15.3,16.65,-65.85,9.72,17.0,29.33333333,6.14
107,To Delegate or Not to Delegate_ Gender Differences in Affective Associations and Behavioral Responses to Delegation _ Academy of Management Journal,1.0,1,17.6,15.5,18.89,12.89,19.9,18.5,6.44
108,Trust and Collaboration in the Aftermath of Conflict_ The Effects of Contract Structure,0.0,0,16.1,16.24,-69.51,11.61,18.2,26.0,6.57
109,"Trusting the “Look and Feel”_ Situational Normality, Situational Aesthetics, and the Perceived Trustworthiness of Organizations _ Academy of Management Journal",0.0,0,15.0,16.19,27.62,10.06,16.4,15.4,6.47
110,"Turnkey or Tailored_ Relational Pluralism, Institutional Complexity, and the Organizational Adoption of More or Less Customized Practices",0.0,0,17.0,17.53,-79.9,12.36,20.0,21.5,6.72
111,Uneasy Lies the Head that Bears the Trust_ The Effects of Feeling Trusted on Emotional Exhaustion,0.0,0,14.2,15.31,-55.97,9.29,15.3,8.125,6.2
112,We Ask Men to Win and Women Not to Lose_ Closing the Gender Gap in Startup Funding _ Academy of Management Journal,1.0,1,15.4,16.65,32.22,11.62,18.6,17.0,6.74
113,What Matters When_ A Multistage Model and Empirical Examination of Job Search Effort,1.0,1,15.8,14.39,-56.04,12.4,18.0,12.83333333,6.42
114,What's in It for Them_ Advantages of Higher-Status Partners in Exchange Relationships,1.0,1,16.0,14.45,-47.48,12.52,17.8,16.0,6.5
115,Whatever It Takes to Win_ Rivalry Increases Unethical Behavior,0.0,0,16.6,15.61,-70.83,11.57,18.2,11.85714286,6.33
116,When Do Ethnic Communities Affect Foreign Location Choice_ Dual Entry Strategies of Korean Banks in China _ Academy of Management Journal,4.0,1,15.5,17.93,34.36,10.6,19.1,13.16666667,6.42
117,When Does Charisma Matter for Top-Level Leaders_ Effect of Attributional Ambiguity,1.0,1,16.5,14.92,-55.02,12.2,18.3,16.2,6.49
118,When Interteam Conflict Spirals into Intrateam Power Struggles_ The Pivotal Role of Team Power Structures _ Academy of Management Journal,0.0,0,14.8,15.73,31.11,11.34,18.3,14.2,6.24
119,When Justice Promotes Injustice_ Why Minority Leaders Experience Bias When They Adhere to Interpersonal Justice Rules,0.0,0,16.5,16.82,-77.87,11.33,18.5,14.16666667,6.44
120,When and Why People Engage in Different Forms of Proactive Behavior_ Interactive Effects of Self-construals and Work Characteristics,0.0,0,17.6,17.24,-80.51,11.85,20.1,19.0,6.16
121,"When is an Hour Not 60 Minutes_ Deadlines, Temporal Schemata, and Individual and Task Group Performance _ Academy of Management Journal",0.0,0,15.6,13.81,36.83,12.61,17.7,10.28571429,6.64
122,Why Are Abusive Supervisors Abusive_ A Dual-system Self-control Model,0.0,0,18.4,17.58,-81.72,12.91,21.0,12.0,6.66
123,Why Are Job Seekers Attracted by Corporate Social Performance_ Experimental and Field Tests of Three Signal-Based Mechanisms,0.0,0,17.6,16.08,-74.68,13.04,20.2,16.0,6.47
124,Why and When Leaders’ Affective States Influence Employee Upward Voice,1.0,1,16.5,15.79,-70.02,11.04,18.1,26.66666667,6.13
125,Why is Underemployment Related to Creativity and OCB_ A Task-Crafting Explanation of the Curvilinear Moderated Relations,0.0,0,16.4,16.48,-69.3,11.27,18.1,16.0,6.37
126,Win or Lose the Battle for Creativity_ The Power and Perils of Intergroup Competition,1.0,1,17.6,16.25,-81.01,12.48,19.4,11.57142857,6.51
127,Women on Boards and Firm Financial Performance_ A Meta-Analysis,0.0,0,16.8,17.0,-78.58,11.25,18.9,27.66666667,6.28
128,"“I Put in Effort, Therefore I Am Passionate”_ Investigating the Path from Effort to Passion in Entrepreneurship",0.0,0,15.1,15.78,-68.09,10.31,17.0,16.0,6.11
